what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969024510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969036940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969044140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969044230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969044770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969044850
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1503969046970
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1503969047800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969050230
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1503969052382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969053962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969053972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969079853
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1503969079883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969140864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1503969140884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969173885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969177875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1503969177895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969191449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1503969193989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1503969215560
